"id","name","rating","year.built","park","make","ride"
"1","Accelerator","Family",2011,"Drayton Manor","Vekoma","rollercoaster"
"2","African Big Apple","Family",1999,"West Midland Safari Park ","Pinfari","rollercoaster"
"3","Antelope","Family",1995,"Gulliver's Warrington","Mack Rides","rollercoaster"
"4","Astro Storm","Thrill",2011,"Brean Theme Park","Zierer","rollercoaster"
"5","Avalanche","Thrill",1988,"Blackpool Pleasure Beach","Mack Rides","rollercoaster"
"6","Barnstormer","Family",2000,"Adventure Island","Zierer","rollercoaster"
"7","Beehive Coaster","Family",2017,"Dreamland","Zierer","rollercoaster"
"8","Big Apple","Family",1998,"Great Yarmouth Pleasure Beach","Pinfari","rollercoaster"
"9","Big Apple","Family",1987,"Botton's Pleasure Beach","Pinfari","rollercoaster"
"10","Big Apple","Family",2002,"Ocean Beach Pleasure Park","Pinfari","rollercoaster"
"11","Big Apple","Family",2012,"West Sands Fun Fair","Pinfari","rollercoaster"
"12","Big Dipper","Thrill",1923,"Blackpool Pleasure Beach","Arrow Dynamics","rollercoaster"
"13","Big One","Extreme",1994,"Blackpool Pleasure Beach","Arrow Dynamics","rollercoaster"
"14","Blue Flyer","Family",1934,"Blackpool Pleasure Beach","Zamperla","rollercoaster"
"15","Buffalo Mountain Coaster","Family",1987,"Drayton Manor","Zamperla","rollercoaster"
"16","Buffalo Stampede","Family",2007,"Twinlakes Park","Zamperla","rollercoaster"
"17","Cannonball Express","Thrill",1995,"Pleasurewood Hills","chwarzkopf","rollercoaster"
"18","Captain Jacks Runaway Train","Family",2013,"Pirates Cove Fun Park ","SBF Visa Group","rollercoaster"
"19","Caterpillar","Family",2001,"Brean Theme Park","D.P.V. Rides","rollercoaster"
"20","Caterpillar","Family",2003,"Hemsby Fun Park","SBF Visa Group","rollercoaster"
"21","Caterpillar","Family",2014,"Flamingo Park","Levent Lunapark","rollercoaster"
"22","Caterpillar","Family",2016,"Southport Pleasureland ","DAL Amusement Rides Company","rollercoaster"
"23","Caterpillar Coaster","Family",2016,"Primrose Valley Holiday Park","DAL Amusement Rides Company","rollercoaster"
"24","Caterpillar","Family",2016,"Animal Farm Adventure Park","DAL Amusement Rides Company","rollercoaster"
"25","Cat-O-Pillar Coaster","Family",2000,"Paultons Park","Zierer","rollercoaster"
"26","Cliffhanger","Family",2005,"Blackgang Chine","I.E. Park","rollercoaster"
"27","Clone Zone","Family",1997,"The Milky Way Adventure Park","Caripro","rollercoaster"
"28","Clown Coaster","Family",2011,"Wicksteed Park","Pinfari","rollercoaster"
"29","Cobra","Thrill",2006,"Paultons Park","Gerstlauer","rollercoaster"
"30","Colossus","Extreme",2002,"Thorpe Park","Intamin","rollercoaster"
"31","Cosmic Caterpillar","Family",2008,"The Milky Way Adventure Park","D.P.V. Rides","rollercoaster"
"32","Cosmic Typhoon","Thrill",2007,"The Milky Way Adventure Park","D.P.V. Rides","rollercoaster"
"33","Crash Test","Thrill",2018,"Ocean Beach Pleasure Park","Cedeal Rides","rollercoaster"
"34","Crazy Caterpillar","Family",2012,"Bayside Fun Park","DAL Amusement Rides Company","rollercoaster"
"35","Crazy Caterpillar","Family",2017,"Sandwell Valley Amusements","Güven Lunapark","rollercoaster"
"36","Crazy Coaster","Thrill",2018,"South Pier","Reverchon","rollercoaster"
"37","Crazy Loop","Extreme",2004,"Brean Theme Park","Pinfari","rollercoaster"
"38","Crazy Mouse","Thrill",2000,"Brighton Pier","Reverchon","rollercoaster"
"39","Crazy Mouse","Family",1999,"Gulliver's Milton Keynes","L&T Systems","rollercoaster"
"40","Crazy Train","Family",2015,"Gulliver's Warrington","Pinfari","rollercoaster"
"41","Dino Chase","Family",2003,"Paultons Park","Zierer","rollercoaster"
"42","Dino Roller","Family",1988,"Flamingo Land","Cavazza Diego","rollercoaster"
"43","Doggy Dog","Family",2016,"Old MacDonald's Farm","SBF Visa Group","rollercoaster"
"44","Dragon","Family",2016,"Fantasy Island","Fun Rides Tech","rollercoaster"
"45","Dragon","Family",1998,"Legoland Windsor","WGH Transportation","rollercoaster"
"46","Dragon's Apprentice","Family",1999,"Legoland Windsor","WGH Transportation","rollercoaster"
"47","Dragon's Fury","Thrill",2004,"Chessington World of Adventures","Maurer Rides GmbH","rollercoaster"
"48","Family Coaster","Family",2018,"Dymchurch Amusement Park","Güven Lunapark","rollercoaster"
"49","Family Star","Thrill",2013,"Great Yarmouth Pleasure Beach","Fabbri","rollercoaster"
"50","Fantasy Mouse","Thrill",2017,"Fantasy Island","Reverchon","rollercoaster"
"51","Flight of the Pterosaur","Family",2017,"Paultons Park","Vekoma","rollercoaster"
"52","Flying Fish","Family",2007,"Thorpe Park","Mack Rides","rollercoaster"
"53","Funlandasaurus","Family",2008,"Funland Amusement Park","Pinfari","rollercoaster"
"54","Galactica","Extreme",2002,"Alton Towers","Bolliger & Mabillard","rollercoaster"
"55","G Force","Extreme",2005,"Drayton Manor","Maurer Rides GmbH","rollercoaster"
"56","Go Gator","Family",1999,"Flamingo Land","Wisdom Rides","rollercoaster"
"57","Go Gator","Family",2013,"Manning's Amusement Park","Wisdom Rides","rollercoaster"
"58","Go Gator","Family",2010,"Clifton Park Amusements","Wisdom Rides","rollercoaster"
"59","Go Gator","Family",2017,"Clacton Pier","Wisdom Rides","rollercoaster"
"60","Gold Mine","Family",2011,"Pavilion Fun Park","SBF Visa Group","rollercoaster"
"61","Grand National","Thrill",1935,"Blackpool Pleasure Beach","Great Coasters International","rollercoaster"
"62","Green Scream","Family",1999,"Adventure Island","Zierer","rollercoaster"
"63","Happy Caterpiller","Family",2018,"Clarence Pier","Zierer","rollercoaster"
"64","Hero","Extreme",2013,"Flamingo Land","Zamperla","rollercoaster"
"65","High Hazel Mini Mine Coaster","Family",2003,"Wheelgate Adventure Park","L&T Systems","rollercoaster"
"66","Hornet","Family",1995,"Flambards Village Theme Park","Zierer","rollercoaster"
"67","Icon","Extreme",2018,"Blackpool Pleasure Beach","Mack Rides","rollercoaster"
"68","Infusion","Extreme",2007,"Blackpool Pleasure Beach","Vekoma","rollercoaster"
"69","Jellikins Coaster","Family",1996,"Fantasy Island","WGH Transportation","rollercoaster"
"70","Kiddies Coaster","Family",2010,"Dudley Zoological Gardens","DAL Amusement Rides Company","rollercoaster"
"71","Kiddi Koasta","Family",2011,"Adventure Island","Zamperla","rollercoaster"
"72","Kumali","Extreme",2006,"Flamingo Land","Vekoma","rollercoaster"
"73","Ladybird","Family",2013,"Lightwater Valley","Zierer","rollercoaster"
"74","Ladybird","Family",1999,"Wicksteed Park","Zierer","rollercoaster"
"75","Little Dipper","Family",1975,"Mack's Amusements","Supercar","rollercoaster"
"76","Little Dipper","Family",2014,"Lightwater Valley","D.P.V. Rides","rollercoaster"
